City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Srednekolymsk,RU,2022-08-03 15:55:47,67.45,153.6833,50.77,95,100,7.45
171,Tuktoyaktuk,CA,2022-08-03 15:55:48,69.4541,-133.0374,48.2,87,75,4.61
172,Guane,CU,2022-08-03 15:55:48,22.2025,-84.0875,88.7,61,8,10.56
173,Meulaboh,ID,2022-08-03 15:55:48,4.1363,96.1285,75.04,92,100,1.77
174,Agirish,RU,2022-08-03 15:55:49,61.9247,63.0231,66.9,52,25,4.63
175,Yazykovo,RU,2022-08-03 15:55:49,55.2199,56.1353,64.92,69,5,7.7
176,Tatawin,TN,2022-08-03 15:55:49,32.9297,10.4518,88.59,41,0,23.04
177,Avanigadda,IN,2022-08-03 15:55:49,16.0215,80.9181,83.7,73,100,7.0
178,Sao Filipe,CV,2022-08-03 15:55:50,14.8961,-24.4956,78.3,79,63,2.91
179,Sibolga,ID,2022-08-03 15:55:50,1.7427,98.7792,75.2,96,100,11.1
180,Georgetown,MY,2022-08-03 15:54:58,5.4112,100.3354,80.89,90,20,2.3
181,Puerto Carreno,CO,2022-08-03 15:55:50,6.189,-67.4859,76.98,88,20,5.75
182,East London,ZA,2022-08-03 15:55:51,-33.0153,27.9116,67.14,72,0,3.44
183,Hovd,MN,2022-08-03 15:55:51,48.0056,91.6419,71.49,30,57,2.46
184,Olinda,BR,2022-08-03 15:55:04,-8.0089,-34.8553,76.73,83,75,4.61
185,Viedma,AR,2022-08-03 15:53:48,-40.8135,-62.9967,53.82,39,7,2.15
186,Takoradi,GH,2022-08-03 15:56:51,4.8845,-1.7554,76.46,67,35,12.26
187,Port Blair,IN,2022-08-03 15:56:52,11.6667,92.75,78.84,94,100,8.05
188,Sakaiminato,JP,2022-08-03 15:56:52,35.55,133.2333,84.18,70,20,8.05
189,Sicuani,PE,2022-08-03 15:56:52,-14.2694,-71.2261,56.93,32,0,5.68
190,Namatanai,PG,2022-08-03 15:53:57,-3.6667,152.4333,78.6,83,71,9.28
191,Port-Cartier,CA,2022-08-03 15:56:53,50.0334,-66.8654,71.82,46,32,8.88
192,Bentiu,SS,2022-08-03 15:56:53,9.2333,29.8333,75.49,86,95,3.96
193,Somerset East,ZA,2022-08-03 15:56:53,-32.7217,25.588,64.17,45,99,4.59
194,Juneau,US,2022-08-03 15:56:54,58.3019,-134.4197,54.84,100,99,0.85
195,Vardo,NO,2022-08-03 15:56:54,70.3705,31.1107,51.78,93,100,2.3
196,Narsaq,GL,2022-08-03 15:52:07,60.9167,-46.05,51.4,55,100,6.22
197,Arraial Do Cabo,BR,2022-08-03 15:56:54,-22.9661,-42.0278,76.96,73,20,8.05
198,Clyde River,CA,2022-08-03 15:56:55,70.4692,-68.5914,37.63,100,100,10.36
199,Kharagpur,IN,2022-08-03 15:56:55,22.3333,87.3333,83.61,77,99,9.93
200,Buala,SB,2022-08-03 15:56:55,-8.145,159.5921,78.76,85,23,9.08
201,Batticaloa,LK,2022-08-03 15:56:56,7.7102,81.6924,81.81,64,100,8.25
202,Labelle,US,2022-08-03 15:56:56,26.7617,-81.4384,87.87,56,66,5.17
203,Ardalstangen,NO,2022-08-03 15:52:50,61.2371,7.6983,64.89,62,60,5.86
204,Shenjiamen,CN,2022-08-03 15:56:56,29.9576,122.298,82.54,87,0,17.6
205,Umm Kaddadah,SD,2022-08-03 15:56:57,13.6017,26.6876,81.18,55,81,12.41
206,Bozdar,PK,2022-08-03 15:56:57,27.1828,68.636,98.58,38,37,9.78
207,Zanesville,US,2022-08-03 15:55:48,39.9404,-82.0132,86.72,64,46,3.0
208,Isernia,IT,2022-08-03 15:56:57,41.6002,14.2382,82.81,37,68,1.9
209,San Patricio,US,2022-08-03 15:56:57,28.017,-97.5169,92.12,47,42,18.12
210,Joacaba,BR,2022-08-03 15:53:00,-27.1781,-51.5047,81.91,37,0,4.29
211,Ushtobe,KZ,2022-08-03 15:56:58,45.2514,77.9838,75.34,39,54,6.93
212,Zhigansk,RU,2022-08-03 15:56:58,66.7697,123.3711,48.36,58,100,19.17
213,Asau,RO,2022-08-03 15:56:58,46.4333,26.4,79.72,52,48,7.56
214,Juazeiro,BR,2022-08-03 15:56:59,-9.4117,-40.4986,87.98,35,20,17.18
215,Vostok,RU,2022-08-03 15:56:59,46.4856,135.8833,62.89,95,100,4.12
216,Mizdah,LY,2022-08-03 15:56:59,31.4451,12.9801,95.27,25,2,14.36
217,Zachary,US,2022-08-03 15:57:00,30.6485,-91.1565,75.07,94,40,5.75
218,Makakilo City,US,2022-08-03 15:57:00,21.3469,-158.0858,72.68,84,1,6.67
219,Lazaro Cardenas,MX,2022-08-03 15:57:00,17.9583,-102.2,83.62,74,100,3.2
220,Teknaf,BD,2022-08-03 15:57:01,20.8624,92.3058,82.33,83,100,9.37
221,Sola,VU,2022-08-03 15:57:01,-13.8833,167.55,80.85,75,4,13.58
222,Kamenka,RU,2022-08-03 15:57:01,51.3223,42.7678,78.33,49,100,6.96
223,Kristiinankaupunki,FI,2022-08-03 15:57:02,62.2743,21.376,65.57,80,55,20.11
224,Dakoro,NE,2022-08-03 15:57:02,14.5106,6.765,91.2,40,63,2.93
225,Torbay,CA,2022-08-03 15:52:54,47.6666,-52.7314,74.17,88,100,12.66
226,Fernie,CA,2022-08-03 15:53:09,49.5,-115.0687,56.08,31,7,7.16
227,Tasiilaq,GL,2022-08-03 15:57:02,65.6145,-37.6368,41.23,73,58,8.77
228,Cabra,ES,2022-08-03 15:57:03,37.4725,-4.4421,101.28,12,0,16.24
229,Puerto Ayora,EC,2022-08-03 15:57:03,-0.7393,-90.3518,75.16,79,84,7.0
230,Bambous Virieux,MU,2022-08-03 15:57:03,-20.3428,57.7575,68.25,77,40,5.75
231,Saldanha,ZA,2022-08-03 15:55:49,-33.0117,17.9442,59.05,81,0,8.1
232,San Quintin,MX,2022-08-03 15:57:04,30.4833,-115.95,73.31,78,57,9.46
233,Talara,PE,2022-08-03 15:57:04,-4.5772,-81.2719,66.96,77,40,25.32
234,Opuwo,NA,2022-08-03 15:57:04,-18.0607,13.84,75.65,6,80,11.7
235,Korla,CN,2022-08-03 15:58:05,41.7597,86.1469,86.36,24,56,5.44
236,Colares,PT,2022-08-03 15:58:05,38.7992,-9.4469,82.08,66,75,27.63
237,Pacific Grove,US,2022-08-03 15:56:47,36.6177,-121.9166,65.89,97,5,7.0
238,Talnakh,RU,2022-08-03 15:58:05,69.4865,88.3972,54.28,59,74,7.54
239,Mana,GF,2022-08-03 15:58:06,5.6592,-53.7767,84.22,70,100,10.04
240,Dingle,PH,2022-08-03 15:58:06,10.9995,122.6711,77.45,89,100,3.74
241,Nyurba,RU,2022-08-03 15:58:06,63.2842,118.3319,64.54,57,100,11.95
242,Nome,US,2022-08-03 15:56:44,64.5011,-165.4064,48.27,100,100,0.0
243,Tuatapere,NZ,2022-08-03 15:58:07,-46.1333,167.6833,45.25,82,100,6.64
244,Mahanje,TZ,2022-08-03 15:58:07,-9.9333,35.3333,68.04,48,97,3.13
245,Zhob,PK,2022-08-03 15:58:07,31.3411,69.4481,79.38,54,41,5.44
246,Marsabit,KE,2022-08-03 15:58:08,2.3284,37.9899,73.6,41,39,13.4
247,Khatanga,RU,2022-08-03 15:58:08,71.9667,102.5,49.68,66,90,6.58
248,Yueyang,CN,2022-08-03 15:58:08,29.3333,113.0919,86.74,59,17,4.34
249,Maralal,KE,2022-08-03 15:58:09,1.0968,36.698,61.61,79,93,2.33
250,Norman Wells,CA,2022-08-03 15:58:09,65.282,-126.8329,57.24,88,75,13.8
251,Ruteng,ID,2022-08-03 15:58:09,-8.6136,120.4721,60.19,92,89,1.48
252,Mehamn,NO,2022-08-03 15:58:10,71.0357,27.8492,53.55,94,75,4.61
253,Kavieng,PG,2022-08-03 15:58:10,-2.5744,150.7967,81.03,80,96,15.59
254,Kuytun,RU,2022-08-03 15:58:10,54.3419,101.5036,52.86,84,56,3.67
