City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Sibolga,ID,77.52,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
328,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
330,Korla,CN,89.91,broken clouds,41.7597,86.1469,Gulisitan Hotel
332,Gat,IL,89.4,clear sky,31.61,34.7642,OlusHome
333,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Base Lodging
337,Ixtapa,MX,89.22,scattered clouds,20.7,-105.2,hotel la terminal
339,Mindelo,CV,81.95,few clouds,16.8901,-24.9804,Hotel Gaudi
345,Shihezi,CN,84.79,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
346,Moa,CU,85.57,broken clouds,20.6569,-74.9403,Carmen
348,Punta Cardon,VE,84.31,scattered clouds,11.6581,-70.215,Bambuda hotel
349,Zlobin,HR,85.3,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
353,Nara,JP,79.97,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
354,Westport,US,89.31,clear sky,41.1415,-73.3579,The Westport Inn
356,Bemidji,US,80.91,scattered clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
358,Ocean City,US,88.18,overcast clouds,39.2776,-74.5746,Biscayne Suites
361,Boca Do Acre,BR,75.85,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
376,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
378,Jiangyan,CN,77.95,broken clouds,32.5061,120.1428,Super 8 Taizhou Jiangyan East Luotang Road
379,Kongolo,CD,89.64,scattered clouds,-5.3833,27.0,GUEST HOUSE OASIS
382,San Antonio,US,88.9,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
384,Port Said,EG,84.18,clear sky,31.2565,32.2841,Aracan Hotel
386,Mayenne,FR,76.44,clear sky,48.3333,-0.6667,la Tour des Anglais
395,Wajid,SO,84.87,scattered clouds,3.8093,43.2471,xamdihotelresturant114
397,George Town,MY,85.89,scattered clouds,5.4112,100.3354,Cititel Penang
398,Huambo,AO,80.46,clear sky,-12.7761,15.7392,SiSHotel
400,Alvinopolis,BR,88.99,clear sky,-20.1067,-43.0489,Hotel São Geraldo
404,Moctezuma,MX,84.33,broken clouds,29.8,-109.6667,Hotel Lobohombo
406,Rabat,MA,86.04,few clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
413,Chitral,PK,79.7,broken clouds,35.8462,71.7858,PTDC Motel Chitral
414,Monrovia,LR,80.37,overcast clouds,6.3005,-10.7969,Sunset Inn
417,Torrington,US,88.86,overcast clouds,41.8007,-73.1212,The Yankee Pedlar Inn
419,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
420,Payson,US,85.55,broken clouds,40.0444,-111.7321,Quality Inn Payson I-15
422,San,ML,83.5,overcast clouds,13.3034,-4.8956,Hôtel Teriya
423,Rayachoti,IN,77.88,overcast clouds,14.05,78.75,ANNAMAYYA FAMILY RESTAURANT
425,Aksu,CN,78.67,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
426,Lake Charles,US,85.98,broken clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
428,Gigmoto,PH,79.66,overcast clouds,13.7796,124.39,Cj's Travellers Inn
429,Ban Chang,TH,80.47,scattered clouds,12.7254,101.0553,Grand Garden Hotel
430,Paragominas,BR,85.35,broken clouds,-2.9667,-47.4833,INOVA
