City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Port Blair,IN,11.6667,92.75,82.44,83,75,14.97,drizzle
296,Olot,ES,42.181,2.4901,78.08,97,61,1.01,light rain
297,Talaya,RU,61.3833,152.75,58.69,89,82,5.41,broken clouds
298,Plouzane,FR,48.3833,-4.6167,69.85,52,40,14.97,scattered clouds
299,Amzya,RU,56.2354,54.3868,70.39,66,72,3.29,broken clouds
300,Mecca,SA,21.4267,39.8261,86.4,53,71,2.84,broken clouds
301,Arman,RU,59.7,150.1667,57.02,98,98,5.37,overcast clouds
302,Ponta Delgada,PT,37.7333,-25.6667,77.72,83,20,8.05,few clouds
303,Abnub,EG,27.2696,31.1511,98.82,14,2,13.22,clear sky
304,Shancheng,CN,34.7953,116.0817,84.36,76,0,7.67,clear sky
305,Almaznyy,RU,48.0448,40.045,71.04,68,100,9.93,overcast clouds
306,Belawan,ID,3.7755,98.6832,80.89,85,97,4.05,moderate rain
307,Te Anau,NZ,-45.4167,167.7167,46.2,93,86,3.83,overcast clouds
308,Mingshui,CN,36.7167,117.5,83.98,79,0,7.54,clear sky
309,Rute,ES,37.3269,-4.3683,96.4,13,0,12.08,clear sky
310,Moron,AR,-34.6534,-58.6198,61.97,38,0,3.91,clear sky
311,Fairbanks,US,64.8378,-147.7164,55.36,93,100,6.91,overcast clouds
312,Daru,PG,-9.0763,143.2092,77.85,91,90,12.91,overcast clouds
313,Almeirim,BR,-1.5233,-52.5817,90.55,49,1,5.95,clear sky
314,Coahuayana,MX,18.7333,-103.6833,86.29,66,65,1.43,broken clouds
315,Proletariy,RU,58.4342,31.7046,78.08,57,62,2.66,broken clouds
316,Gornopravdinsk,RU,60.05,69.9,66.29,67,89,3.36,overcast clouds
317,Mackenzie,CA,55.2999,-123.1698,52.02,87,0,2.3,clear sky
318,Narsaq,GL,60.9167,-46.05,48.42,94,100,3.76,light rain
319,Barra Do Garcas,BR,-15.89,-52.2567,93.78,24,0,4.61,clear sky
320,Otane,NZ,-39.8833,176.6333,45.32,65,100,2.15,overcast clouds
321,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,40,11.5,scattered clouds
322,Saldanha,ZA,-33.0117,17.9442,56.23,92,8,5.12,clear sky
323,Xichang,CN,27.8964,102.2634,67.05,90,67,3.22,broken clouds
324,Kamarion,GR,36.8,25.8167,79.09,78,0,15.21,clear sky
325,Vila Franca Do Campo,PT,37.7167,-25.4333,77.41,72,25,8.81,scattered clouds
326,Neulengbach,AT,48.1974,15.9022,99.75,39,9,1.99,clear sky
327,Sibolga,ID,1.7427,98.7792,77.52,71,99,3.29,overcast clouds
328,Boa Vista,BR,2.8197,-60.6733,89.58,58,75,11.5,broken clouds
329,Srednekolymsk,RU,67.45,153.6833,45.52,69,29,2.68,scattered clouds
330,Korla,CN,41.7597,86.1469,89.91,20,77,13.53,broken clouds
331,Norman Wells,CA,65.282,-126.8329,64.44,68,75,4.61,broken clouds
332,Gat,IL,31.61,34.7642,89.4,100,0,10.56,clear sky
333,Ewa Beach,US,21.3156,-158.0072,75.15,84,0,3.44,clear sky
334,Oktyabrskiy,RU,54.4815,53.471,69.58,61,1,4.74,clear sky
335,Ilula,TZ,-7.6766,36.0366,59.7,70,33,7.4,scattered clouds
336,Tucurui,BR,-3.7661,-49.6725,92.98,43,25,5.3,scattered clouds
337,Ixtapa,MX,20.7,-105.2,89.22,71,28,2.46,scattered clouds
338,Kaitangata,NZ,-46.2817,169.8464,49.51,84,100,5.26,moderate rain
339,Mindelo,CV,16.8901,-24.9804,81.95,65,20,4.61,few clouds
340,Elko,US,41.0002,-115.5012,68.23,62,100,5.01,overcast clouds
341,Rjukan,NO,59.8789,8.5941,67.44,36,85,9.75,overcast clouds
342,Khandyga,RU,62.6667,135.6,66.79,62,100,8.59,overcast clouds
343,Dzhebariki-Khaya,RU,62.2167,135.8,64.96,66,100,5.88,overcast clouds
344,Ancud,CL,-41.8697,-73.8203,42.22,72,89,8.81,overcast clouds
345,Shihezi,CN,44.3,86.0333,84.79,30,89,4.47,overcast clouds
346,Moa,CU,20.6569,-74.9403,85.57,67,75,15.68,broken clouds
347,Khonsa,IN,27.0167,95.5667,69.89,99,100,4.16,overcast clouds
